滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
操作壓力	操作压力 	[cao1 zuo4 ya1 li4]	/Betriebsdruck (S)/
操作失誤	操作失误 	[cao1 zuo4 shi1 wu4]	/Fehlbedienung (S)/
操作安全性	操作安全性 	[cao1 zuo4 an1 quan2 xing4]	/Betriebssicherheit (S)/
操作安全	操作安全 	[cao1 zuo4 an1 quan2]	/Arbeitssicherheit, Betriebssicherheit (S)/
操作實習	操作实习 	[cao1 zuo4 shi2 xi2]	/Bedienungspraktikum (S)/
操作少	操作少 	[zao4 zuo4 shao3]	/bedienarm (Adj); Bsp.: 操作少的生產技術 操作少的生产技术 -- bedienarme Fertigungstechnik/
操作少的生產技術	操作少的生产技术 	[cao1 zuo4 shao3 de5 sheng1 chan3 ji4 shu4]	/bedienarm (Adj)/
操作工具	操作工具 	[cao1 zuo4 gong1 ju4]	/Betriebsmittel (S)/
操作常規	操作常规 	[cao1 zuo4 chang2 gui1]	/Leitprogramm (S)/
操作平臺	操作平台 	[cao1 zuo4 ping2 tai2]	/Betriebssystem (S, EDV)/Betriebsumgebung (im Sinne von Hardware und-oder Software) (S, EDV)/Plattform (S, EDV)/
操作性	操作性 	[cao1 zuo4 xing4]	/Bedienbarkeit (S)/Durchführbarkeit (S)/
操作手冊	操作手册 	[cao1 zuo4 shou3 ce4]	/Bedienungshandbuch (S)/
操作手柄	操作手柄 	[cao1 zuo4 shou3 bing3]	/Bedienungshebel (S)/
操作技術	操作技术 	[cao1 zuo4 ji4 shu4]	/Bedientechnik (S)/
操作指南	操作指南 	[cao1 zuo4 zhi3 nan2]	/Bedienerführung (S)/
操作指導員	操作指导员 	[cao1 zuo4 zhi3 dao3 yuan2]	/Bedienerinstruktor (S)/
操作按鈕	操作按钮 	[cao1 zuo4 an4 niu3]	/Bedienungsknopf (S)/
操作	操作 	[cao1 zuo4]	/betätigen, bedienen, handhaben (V)/Handhabung (S)/
操作數	操作数 	[cao1 zuo4 shuo4]	/Operand (S)/
操作文件	操作文件 	[cao1 zuo4 wen2 jian4]	/betriebstechnische Dokumentation (S)/
操作方便性	操作方便性 	[cao1 zuo4 fang1 bian4 xing4]	/Bedienerfreundlichkeit (S)/
操作方便	操作方便 	[cao1 zuo4 fang1 bian4]	/einfache Bedienbarkeit (S)/einfache Bedienung (S)/bedienfreundlich (Adj)/bedienungsfreundlich (Adj)/
操作方便的	操作方便的 	[cao1 zuo4 fang1 bian4 de5]	/bedienungsfreundlich, bedienfreundlich (Adj)/
操作方便省力	操作方便省力 	[cao1 zuo4 fang1 bian4 sheng3 li4]	/leicht und bequem zu bedienen (V)/
操作方式	操作方式 	[cao1 zuo4 fang1 shi4]	/Bedienungsweise (S)/
操作方法	操作方法 	[cao1 zuo4 fang1 fa3]	/Bedienungsweise (S)/
操作條件反射	操作条件反射 	[cao1 zuo4 tiao2 jian4 fan3 she4]	/Konditionierung (S, Psych)/
操作條件	操作条件 	[cao1 zuo4 tiao2 jian4]	/Betriebsbedingung (S)/
操作構思	操作构思 	[cao1 zuo4 gou4 si1]	/Bedienungskonzept, Betriebskonzept (S)/
操作模式	操作模式 	[cao1 zuo4 mo2 shi4]	/Arbeitsweise (S)/Betriebsart (S)/
操作機器	操作机器 	[cao1 zuo4 ji1 qi4]	/Bedienung der Maschine (S)/
操作流程	操作流程 	[cao1 zuo4 liu2 cheng2]	/Bedienungsablauf (S)/
操作準備就緒	操作准备就绪 	[cao1 zuo4 zhun3 bei4 jiu4 xu4]	/betriebsbereit (Adj)/
操作環境	操作环境 	[cao1 zuo4 huan2 jing4]	/Betriebsumgebung (S)/
操作界面	操作界面 	[cao1 zuo4 jie4 mian4]	/Bedieneroberfläche, Bedienoberfläche (S)/
操作的便捷性	操作的便捷性 	[cao1 zuo4 de5 bian4 jie2 xing4]	/einfache Bedienbarkeit (S)/
操作盒	操作盒 	[cao1 zuo4 he2]	/Bedientableau (S)/
操作盤	操作盘 	[cao1 zuo4 pan2]	/Bedientableau, Bedienfeld (S)/
操作碼	操作码 	[cao1 zuo4 ma3]	/Funktionscode (S)/
操作程序	操作程序 	[cao1 zuo4 cheng2 xu4]	/Betriebsprogramm, Funktionsablauf (S)/
操作空間小	操作空间小 	[cao1 zuo4 kong1 jian1 xiao3]	/nicht leicht zugänglich (Adj)/
操作簡便	操作简便 	[cao1 zuo4 jian3 bian4]	/einfache Bedienbarkeit, unkompliziertes Handling (S)/
操作簡單	操作简单 	[cao1 zuo4 jian3 dan1]	/einfache Bedienung (S), bedienungsfreundlich (Adj)/
操作簡易	操作简易 	[cao1 zuo4 jian3 yi4]	/leichte Bedienbarkeit (S, Tech)/
操作簡練	操作简练 	[cao1 zuo4 jian3 lian4]	/leichte Bedienbarkeit (S)/
操作系統	操作系统 	[cao1 zuo4 xi4 tong3]	/Betriebssystem (S, EDV)/
操作者介入	操作者介入 	[cao1 zuo4 zhe3 jie4 ru4]	/Bedienereingriff (S)/
操作者可編程序的	操作员可编程序的 	[cao1 zuo4 yuan5 ke3 bian1 cheng2 xu4 de5]	/bedienerprogrammierbar (Adj)/
操作者可編程序的	操作者可编程序的 	[cao1 zuo4 zhe3 ke3 bian1 cheng2 xu4 de5]	/bedienerprogrammierbar (Adj)/
操作者接口	操作员接口 	[cao1 zuo4 yuan3 jie1 kou3]	/Bedienerschnittstelle (S)/
操作者	操作者 	[cao1 zuo4 zhe3]	/Bediener (S)/
操作臺	操作台 	[cao1 zuo4 tai2]	/Bedienpult, Bedienungsstand, Bedienungspult (S)/
操作舒適安全	操作舒适安全 	[cao1 zuo4 shu1 shi4 an1 quan2]	/Bedienungskomfort (S)/
操作說明	操作说明 	[cao1 zuo4 shuo1 ming2]	/Bedienungshinweise (S)/
操作費	操作费 	[cao1 zuo4 fei4]	/Bearbeitungsgebühr (S)/
操作軟件	操作软件 	[cao1 zuo4 ruan3 jian4]	/Anwendersoftware (S, EDV)/Betriebsprogramm (S)/
操作通廊	操作通廊 	[cao1 zuo4 tong1 lang2]	/Bediengalerie (S)/
操作速率	操作速率 	[cao1 zuo4 su4 lü4]	/Anfahrgeschwindigkeit (S, Phys)/
操作錯誤	操作错误 	[cao1 zuo4 cuo4 wu4]	/Bedienungsfehler (S)/
操作靈便	操作灵便 	[cao1 zuo4 ling2 bian4]	/Bedienungskomfort (S)/leicht zu bedienen (V)/
操作面	操作面 	[cao1 zuo4 mian4]	/Bedienungsebene, Bedienungsseite (S)/
操作面板	操作面板 	[cao1 zuo4 mian4 ban3]	/Armaturenfeld (S)/Armatur (S)/Bedienungsfeld (S)/Steuerungsfeld (S)/
操勝券	操胜券 	[cao1 sheng4 quan4]	/als Sieger hervorgehen (V)/
操勞	操劳 	[cao1 lao2]	/hart arbeiten, sich kümmern um (V)/
操口音	操口音 	[cao1 kou3 yin1]	/mit Akzent sprechen (V, Sprachw)/
操場	操场 	[cao1 chang3]	/Sportplatz, Übungsplatz, Spielplatz (S)/
操心	操心 	[cao1 xin1]	/sich Sorgen machen (V, Psych)/mit dem Herzen bei der Sache sein (V)/sich Mühe geben (V)/
操持家政	操持家政 	[cao1 chi2 jia1 zheng4]	/Haushalt führen (V)/
操持	操持 	[cao1 chi5]	/leiten (V)/
操控性工作者	操控性工作者 	[cao1 kong4 xing4 gong1 zuo4 zhe3]	/Zuhälter (S)/
操控	操控 	[cao1 kong4]	/bedienen (V)/manipulieren, hinter den Kulissen agieren (V)/
操	操 	[cao1]	/Drill, Übung (S)/Verhalten, Tragen (S)/(eine Sprache oder einen Dialekt) sprechen (V)/drillen, üben, exerzieren, trainieren (V)/etw. in der Hand haben, halten, etw. in die Hand nehmen, fassen, packen (V)/sich mit etw. befassen, tun, betreiben (V)/
操母語的人	操母语的人 	[cao1 mu3 yu3 de5 ren2]	/Muttersprachler (S)/
操練	操练 	[cao1 lian4]	/Drill, Training (S)/trainieren, üben (V)/
操縱側	操纵侧 	[cao1 zong4 ce4]	/Bedienerseite (S, Tech)/
操縱側的水冷卻	操纵侧的水冷却 	[cao1 zong4 ce4 de5 shui3 leng3 que4]	/Wasserkühlung auf Bedienerseite (S)/
操縱價格	操纵价格 	[cao1 zong4 jia4 ge2]	/administrierter Preis (S)/
操縱器	操纵器 	[cao1 zong4 qi4]	/Manipulator, Handhabungsgerät (S)/
操縱工人	操纵工人 	[cao1 zong4 gong1 ren2]	/Bediener (S)/
操縱平臺	操纵平台 	[cao1 zong4 ping2 tai2]	/Bedienpodest (S)/
操縱平衡	操纵平衡 	[cao1 zong4 ping2 heng2]	/Bilanzmanipulation (S)/
操縱手柄	操纵手柄 	[cao1 zong4 shou3 bing3]	/Schalthebel (S)/
操縱	操纵 	[cao1 zong4]	/bedienen, betätigen (V)/
操縱盤	操纵盘 	[cao1 zong4 pan2]	/Bedienungstafel (S)/
操縱者	操纵者 	[cao1 zong4 zhe3]	/Manipulator (S)/
操縱自動化	操纵自动化 	[cao1 zong4 zi4 dong4 hua4]	/automatische Bedienung (S)/
操縱臺	操纵台 	[cao1 zong4 tai2]	/Leitstand, Schaltpult, Konsole, Führerstand (S, Tech)/
操縱證券市場	操纵证券市场 	[cao1 zong4 zheng4 quan4 shi4 chang3]	/takeln (V)/
操縱面	操纵面 	[cao1 zong4 mian4]	/Bedienerseite (S)/
操辦	操办 	[cao1 ban4]	/manipuliert (Adj)/
擎	擎 	[qing2]	/aufziehen, erheben (V)/
擐	擐 	[huan4]	/durchfahren, durchgehen (V)/
擒捉	擒捉 	[qin2 zhuo1]	/fangen (V)/
擒	擒 	[qin2]	/fassen, erfassen, einfangen (V)/
擒縱叉	擒纵叉 	[qin2 zong4 cha3]	/Hemmung (Uhr) (S)/
擒賊擒王	擒贼擒王 	[qin2 zei2 qin2 wang2]	/Den Gegner durch Gefangennahme des Anführers unschädlich machen. 18. Strategem (Mil)/
擔任執行主席	担任执行主席 	[dan1 ren4 zhi2 xing2 zhu3 xi2]	/präsidieren (V)/
擔任房間	担任房间 	[dan1 ren4 fang2 jian1]	/Einzelzimmer (S)/
擔任	担任 	[dan1 ren4]	/fungieren als, tätig sein als (V)/
擔保人	担保人 	[dan1 bao3 ren2]	/Bürge (S, Rechtsw)/
擔保付款	担保付款 	[dan1 bao3 fu4 kuan3]	/nützen (V)/
擔保信貸	担保信贷 	[dan1 bao3 xin4 dai4]	/Realkredit (S)/
擔保協議	担保协议 	[dan1 bao3 xie2 yi4]	/Sicherungsabrede (S)/
擔保合同	担保合同 	[dan1 bao3 he2 tong5]	/Bürgschaftsvertrag (S, Rechtsw)/
擔保品	担保品 	[dan1 bao3 pin3]	/Sicherheit (S, Wirtsch)/
擔保問題	担保问题 	[dan1 bao3 wen4 ti2]	/Garantieproblem (S)/
擔保土地債務	担保土地债务 	[dan1 bao3 tu3 di4 zhai4 wu4]	/Sicherungsgrundschuld (S, Rechtsw)/
擔保帳戶	担保帐户 	[dan1 bao3 zhang4 hu4]	/Bürgschaftskonto (S)/
擔保抵押權	担保抵押权 	[dan1 bao3 di3 ya1 quan2]	/Sicherungshypothek (S)/
擔保	担保 	[dan1 bao3]	/Bürgschaften (S)/Bürgschaftsurkunde (S)/Pfand, Pfände (S)/Sicherheit, Sicherheitsleistung (S)/bürgen, einstehen für, haften für (V)/Bürgschaft (S, Rechtsw)/die Verantwortung für etw. übernehmen (V)/gewährleisten, zusichern (V)/
擔保政策	担保政策 	[dan1 bao3 zheng4 ce4]	/Bürgschaftspolitik (S, Pol)/
擔保書	担保书 	[dan1 bao3 shu1]	/Bürgschaftsurkunde, Haftungserklärung (S, Rechtsw)/
擔保法	担保法 	[dan1 bao3 fa3]	/Sicherheitengesetz (S, Rechtsw)/
擔保物權	担保物权 	[dan1 bao3 wu4 quan2]	/Pfandrecht (S, Rechtsw)/
擔保貸款	担保贷款 	[dan1 bao3 dai4 kuan3]	/Kredit gegen Bürgschaft (S)/
擔古思	担古思 	[dan1 gu3 si1]	/Dangusi (Eig, Fam)/
擔子	担子 	[dan1 zi5]	/Mut (S); Bsp.: 你是擔子太小了。 你是担子太小了。 -- Du hast wirklich wenig Mut!/
擔子菌門	担子菌门 	[dan4 zi3 jun4 men2]	/Basidienpilze (S, Bot)/Ständerpilze (S, Bot)/Abteilung der Basidienpilze (lat: Basidiomycota) (S, Bot)/
擔心地	担心地 	[dan1 xin1 de5]	/unbehaglich (Adj)/
擔心	担心 	[dan1 xin1]	/sich Sorgen machen, besorgt sein (V, Psych); Bsp.: 擔心他的健康 担心他的健康 -- um seine Gesundheit besorgt sein; Bsp.: 你不必辦我擔心。 你不必办我担心。 -- Machen Sie sich um mich keine Sorgen./
擔心降級	担心降级 	[dan1 xin1 jiang4 ji2]	/Abstiegsangst (S, Psych)/
擔憂	担忧 	[dan1 you1]	/besorgt sein, Kummer haben (V)/
擔懮	担懮 	[dan1 you1]	/Angst (S)/
擔承	担承 	[dan1 cheng2]	/anlagern (V)/
擔	担 	[dan1]	/etw. unternehmen (V)/tragen; befördern (V)/auf sich nehmen; schultern (V)/Verantwortung übernehmen (V)/
擔	担 	[dan4]	/Picul (100 Catties, 50 kg) (S)/zwei Eimer voll (S)/Transportstange und die Ladung (S)/ZEW für Lasten auf der Schulterstange (Zähl)/
擔架床	担架床 	[dan1 jia4 chuang2]	/Läuferstein im Mauerwerk, Bahre (S)/
擔架	担架 	[dan1 jia4]	/Tragbahre (S, Tech)/
擔當大梁	担当大梁 	[dan1 dang1 da4 liang2]	/eine große Rolle spielen (V)/
擖	擖 	[ge3]	/kratzen, schaben (V)/
擗	擗 	[pi3]	/auf die Brust schlagen (V)/
擘劃	擘划 	[bo4 hua4]	/anvisieren (V)/
擘	擘 	[bo4]	/Daumen (S, Anat)/aufbrechen (V)/zerreißen (V)/durchbohren (V)/aufspalten (V)/
擘藍	擘蓝 	[bo4 lan2]	/Kohlrabi (S, Ess)/
擘開	擘开 	[bo4 kai1]	/aufbrechen (V)/
據信	据信 	[ju4 xin4]	/angeblich (Adj)/
據傳	据传 	[ju4 zhuan4]	/es geht ein Gerücht um, dass... (Redew)/man sagt, dass... (Redew)/
據傳說	据传说 	[ju4 chuan2 shuo1]	/wie verlautet, es wird erzählt (Redew)/der Legende nach (Redew)/
據報	据报 	[ju4 bao4]	/es ist verlautet (Redew)/
據守	据守 	[ju4 shou3]	/bewachen, schützen (V)/
據悉	据悉 	[ju4 xi1]	/es wird berichtet (Redew), laut Berichten (S)/
據我所知	据我所知 	[ju4 wo3 suo3 zhi1]	/soweit ich weiß, meines Wissens nach (Redew)/
據我看	据我看 	[ju4 wo3 kan4]	/meines Erachtens (Redew)/Soweit ich das beurteilen kann (Redew)/
據	据 	[ju4]	/etw. in Besitz nehmen, etw. besitzen (V)/
據推測	据推测 	[ju4 tui1 ce4]	/vermutlich (Adv)/
據有	据有 	[ju4 you3]	/in Anspruch nehmen (V)/
據此	据此 	[ju4 ci3]	/dementsprechend, demzufolge (Adv)/
據為己有	据为己有 	[ju4 wei2 ji3 you3]	/Aneignung (S)/
據稱	据称 	[ju4 cheng1]	/behaupten (V)/
據統計	据统计 	[ju4 tong3 ji4]	/gemäß der Statistik (S, Math)/
據聞	据闻 	[ju4 wen2]	/berechnet (Adj), Geschäftsbücher (S)/
據說	据說 	[ju4 shuo1]	/vom Hörensagen (S)/man sagt, dass... (Redew)/man erzählt, dass... (Redew)/
據說	据说 	[ju4 shuo1]	/vom Hörensagen (S)/man sagt, dass..., man erzählt, dass... (Redew)/
據說是	据说是 	[ju4 shuo1 shi4]	/es wird erzählt (Redew)/
擠兌	挤兑 	[ji3 dui4]	/Bankenkrise, Run auf Bargeld (S, Wirtsch)/
擠入	挤入 	[ji3 ru4]	/eindringen (V)/Zulauf (S)/
擠出	挤出 	[ji3 chu1]	/herausdrücken (V)/
擠出排擠	挤出排挤 	[ji3 chu1 pai2 ji3]	/ausdrücken (V)/Squeeze-Out (S)/
擠出效應	挤出效应 	[ji3 chu1 xiao4 ying4]	/Verdrängungseffekt (S, Wirtsch)/
擠出機	挤出机 	[ji3 chu1 ji1]	/Extruder (für Plastikprofile) (S, Tech)/
擠塑	挤塑 	[ji3 su4]	/Extrusion (S, Tech)/extrudieren (V, Tech)/
擠壓器	挤压器 	[ji3 ya1 qi4]	/Extruder (S, Tech)/
擠壓	挤压 	[ji3 ya1]	/Fließpressen, Pressung (S)/
擠壓機	挤压机 	[ji3 ya1 ji1]	/Extruder (S, Tech)/
擠壓輥	挤压辊 	[ji3 ya1 gun3]	/Luftauspresswalze, Auspresswalze, Anpresswalze, Abquetschwalze (S)/
擠壓造粒機	挤压造粒机 	[ji3 ya1 zao4 li4 ji1]	/Pelletierpresse (S)/
擠奶	挤奶 	[ji3 nai3]	/melken (V)/
擠奶機	挤奶机 	[ji3 nai3 ji1]	/Melkmaschine (S)/
擠奶的婦女	挤奶的妇女 	[ji3 nai3 de5 fu4 nü3]	/Milchmädchen (S)/
擠得水泄不通	挤得水泄不通 	[ji3 de2 shui3 xie4 bu4 tong1]	/gedrängt wie die Sardinen (Redew)/
擠得滿滿	挤得满满 	[ji3 de2 man3 man3]	/gedrängt wie die Sardinen (Redew)/
擠	挤 	[ji3]	/Stoß (S)/drängen, drücken (V)/drücken, pressen (V); Bsp.: 擠奶 挤奶 -- melken/herausdrücken, ausstoßen, ausschließen (V)/stoßen (V)/voll, überfüllt (Adj)/
擠掉	挤掉 	[ji3 diao4]	/verdrängen (V)/
擠提	挤提 	[ji3 ti2]	/Bank Run (S, Wirtsch)/
擠撞	挤撞 	[ji3 zhuang4]	/Fernrohr (S)/
擠滿	挤满 	[ji3 man3]	/Stockung (S)/bevölkern (V)/zusammenpferchen (V)/
擠眉弄眼	挤眉弄眼 	[ji3 mei2 nong4 yan3]	/mit den Augen blinzeln, zwinkern (V)/
擠縮	挤缩 	[ji3 suo1]	/drücken (V)/
擠著	挤着 	[ji3 zhuo2]	/klemmen (V)/
擠走	挤走 	[ji3 zou3]	/abdrängen (V)/
擠踏	挤踏 	[ji3 ta4]	/massenhaftes Verlassen, Exodus (S)/
擠進	挤进 	[ji3 jin4]	/einklemmen, umlegen (V)/
擠過	挤过 	[ji3 guo4]	/durchzwängen (V)/
擠過狹窄的通道	挤过狭窄的通道 	[ji3 guo4 xia2 zhai3 de5 tong1 dao4]	/durchschlängeln (V)/
擠過車	挤过车 	[ji3 guo4 che1]	/sich im Bus drängeln (V)/
擡	擡 	[tai2]	/Variante von 抬[tai2] (X)/
擢	擢 	[zhuo2]	/auswählen, küren (V)/piecksen (V)/
擢昇	擢升 	[zhuo2 sheng1]	/avancieren (V)/
擢陞	擢升 	[zhuo2 sheng1]	/erhöhen, verherrlichen (V)/
擣	擣 	[dao3]	/zerstoßen (V)/anregen, bewegen (V)/
擣白	擣白 	[dao3 bai2]	/schwatzen (V)/
擣米	擣米 	[dao3 mi3]	/Reis durch Stoßen enthülsen (V, Ess)/
擤	擤 	[xing3]	/die Nase schnäuzen, die Nase putzen (V)/
擤鼻涕	擤鼻涕 	[xing3 bi2 ti4]	/Nase schnäuzen (V)/
擥	擥 	[lan3]	/Variante von 攬|揽[lan3] (X)/
擦乾	擦干 	[ca1 gan1]	/abtrocknen (V)/
